Horizon name             Index       Red     Green      Blue   Segment         X         Y         Z        Vp   Vp grad        Vs   density         q
Fault1                      17      1.00      0.00      0.00         1   8330.58      0.00    899.75   2163.41     0.375    798.82      2.15  62000.00
Fault1                      17      1.00      0.00      0.00         1   8338.82      0.00    905.93   2165.72     0.375    800.61      2.15  62000.00
Fault1                      17      1.00      0.00      0.00         1   8348.11      0.00    912.29   2198.11     0.375    825.54      2.16  62000.00
Fault1                      17      1.00      0.00      0.00         1   8363.19      0.00    921.92   2201.72     0.375    828.32      2.16  62000.00
Fault1                      17      1.00      0.00      0.00         1   8379.41      0.00    932.24   2205.59     0.375    831.30      2.16  62000.00
Fault1                      17      1.00      0.00      0.00         1   8387.21      0.00    937.50   2207.56     0.375    832.82      2.16  62000.00
Fault1                      17      1.00      0.00      0.00         1   8392.77      0.00    941.39   2159.02     0.375    795.45      2.15  62000.00
Fault1                      17      1.00      0.00      0.00         1   8423.40      0.00    964.89   2167.83     0.375    802.23      2.15  62000.00
Fault1                      17      1.00      0.00      0.00         1   8444.86      0.00    983.24   2284.71     0.375    892.23      2.18  62000.00
Fault1                      17      1.00      0.00      0.00         1   8471.15      0.00   1007.56   2293.84     0.375    899.25      2.18  62000.00
Fault1                      17      1.00      0.00      0.00         1   8482.47      0.00   1018.59   2207.97     0.375    833.14      2.16  62000.00
Fault1                      17      1.00      0.00      0.00         1   8501.05      0.00   1037.35   2175.01     0.375    807.76      2.15  62000.00
Fault1                      17      1.00      0.00      0.00         1   8515.36      0.00   1052.28   2300.60     0.375    904.46      2.18  62000.00
Fault1                      17      1.00      0.00      0.00         1   8530.66      0.00   1066.51   2305.94     0.375    908.57      2.18  62000.00
Fault1                      17      1.00      0.00      0.00         1   8542.62      0.00   1081.58   2251.59     0.375    866.73      2.17  62000.00
Fault1                      17      1.00      0.00      0.00         1   8549.36      0.00   1088.94   2254.35     0.375    868.85      2.17  62000.00
Fault1                      17      1.00      0.00      0.00         1   8566.84      0.00   1108.19   2261.57     0.375    874.41      2.17  62000.00
Fault1                      17      1.00      0.00      0.00         1   8577.57      0.00   1119.65   2265.87     0.375    877.72      2.17  62000.00
Fault1                      17      1.00      0.00      0.00         1   8583.31      0.00   1126.41   2268.40     0.375    879.67      2.17  62000.00
Fault1                      17      1.00      0.00      0.00         1   8596.43      0.00   1140.93   2443.71     1.630   1014.66      2.22  62000.00
Fault1                      17      1.00      0.00      0.00         1   8612.06      0.00   1158.10   2611.71     1.630   1144.02      2.26  62000.00
Fault1                      17      1.00      0.00      0.00         1   8626.34      0.00   1173.64   2637.03     1.630   1163.51      2.26  62000.00
Fault1                      17      1.00      0.00      0.00         1   8636.22      0.00   1184.28   2474.38     1.630   1038.27      2.23  62000.00
Fault1                      17      1.00      0.00      0.00         1   8658.10      0.00   1207.42   2612.09     1.630   1144.31      2.26  62000.00
Fault1                      17      1.00      0.00      0.00         1   8670.18      0.00   1219.88   1770.00     0.000    988.00      1.77  62000.00
Fault1                      17      1.00      0.00      0.00         1   8685.47      0.00   1235.29   2081.06     0.625    735.41      2.12  62000.00
Fault1                      17      1.00      0.00      0.00         1   8687.70      0.00   1237.51   2082.44     0.625    736.48      2.13  62000.00
Fault1                      17      1.00      0.00      0.00         1   8706.38      0.00   1255.66   2131.00     0.000   1209.00      1.86  62000.00
Fault1                      17      1.00      0.00      0.00         1   8720.65      0.00   1269.04   2131.00     0.000   1209.00      1.86  62000.00
Fault1                      17      1.00      0.00      0.00         1   8735.40      0.00   1282.36   2190.47     0.625    819.67      2.15  62000.00
Fault1                      17      1.00      0.00      0.00         1   8748.41      0.00   1293.68   2167.55     0.625    886.71      2.03  62000.00
Fault1                      17      1.00      0.00      0.00         1   8759.52      0.00   1302.99   2173.37     0.625    891.39      2.03  62000.00
Fault1                      17      1.00      0.00      0.00         1   8770.42      0.00   1311.80   2208.88     0.625    833.84      2.16  62000.00
Fault1                      17      1.00      0.00      0.00         1   8801.45      0.00   1337.74   2225.09     0.625    846.32      2.16  62000.00
Fault1                      17      1.00      0.00      0.00         1   8820.00      0.00   1352.00   2234.00     0.625    853.18      2.17  62000.00
Fault1                      17      1.00      0.00      0.00         1   8865.72      0.00   1381.44   2252.40     0.625    867.35      2.17  62000.00
Fault1                      17      1.00      0.00      0.00         1   8894.72      0.00   1399.96   2263.97     0.625    876.26      2.17  62000.00
Fault1                      17      1.00      0.00      0.00         1   8906.92      0.00   1407.90   2545.98     0.630   1093.40      2.24  62000.00
Fault1                      17      1.00      0.00      0.00         1   8942.00      0.00   1430.80   2560.41     0.630   1104.51      2.25  62000.00
Fault1                      17      1.00      0.00      0.00         1   8954.17      0.00   1438.73   2295.40     0.630    900.46      2.18  62000.00
Fault1                      17      1.00      0.00      0.00         1   8999.39      0.00   1468.35   2334.06     0.630    930.23      2.19  62000.00
Fault1                      17      1.00      0.00      0.00         1   9036.88      0.00   1493.36   2349.82     0.630    942.36      2.19  62000.00
Fault1                      17      1.00      0.00      0.00         1   9062.08      0.00   1510.53   2650.00     0.000   1174.00      2.26  62000.00
Fault1                      17      1.00      0.00      0.00         1   9085.35      0.00   1526.73   3550.00     0.000   1866.50      2.45  62000.00
Fault1                      17      1.00      0.00      0.00         1   9104.65      0.00   1540.45   3550.00     0.000   1866.50      2.45  62000.00
Fault1                      17      1.00      0.00      0.00         1   9114.41      0.00   1547.51   3550.00     0.000   1866.50      2.45  62000.00
Fault1                      17      1.00      0.00      0.00         1   9127.43      0.00   1557.05   3550.00     0.000   1866.50      2.45  62000.00
Fault1                      17      1.00      0.00      0.00         1   9150.88      0.00   1574.57   3550.00     0.000   1866.50      2.45  62000.00
Fault1                      17      1.00      0.00      0.00         1   9160.93      0.00   1582.18   3350.00     0.000   1712.50      2.41  62000.00
Fault1                      17      1.00      0.00      0.00         1   9170.83      0.00   1589.72   2501.53     0.630   1059.17      2.23  62000.00
Fault1                      17      1.00      0.00      0.00         1   9185.36      0.00   1600.86   2409.54     0.625    988.34      2.21  62000.00
Fault1                      17      1.00      0.00      0.00         1   9196.54      0.00   1609.47   2414.92     0.625    992.49      2.21  62000.00
Fault1                      17      1.00      0.00      0.00         1   9204.63      0.00   1615.71   2298.82     0.625    903.09      2.18  62000.00
Fault1                      17      1.00      0.00      0.00         1   9224.50      0.00   1631.05   2578.41     0.625   1118.38      2.25  62000.00
Fault1                      17      1.00      0.00      0.00         1   9235.16      0.00   1639.26   2583.54     0.625   1122.33      2.25  62000.00
Fault1                      17      1.00      0.00      0.00         1   9247.83      0.00   1648.99   2439.62     0.625   1011.51      2.22  62000.00
Fault1                      17      1.00      0.00      0.00         1   9268.07      0.00   1664.40   2649.25     0.625   1172.92      2.27  62000.00
Fault1                      17      1.00      0.00      0.00         1   9288.10      0.00   1679.44   2658.65     0.625   1180.16      2.27  62000.00
Fault1                      17      1.00      0.00      0.00         1   9294.97      0.00   1684.50   2461.81     0.625   1028.60      2.22  62000.00
Fault1                      17      1.00      0.00      0.00         1   9360.47      0.00   1731.28   2491.05     0.625   1051.11      2.23  62000.00
Fault1                      17      1.00      0.00      0.00         1   9362.05      0.00   1732.38   2421.74     0.625    997.74      2.21  62000.00
Fault1                      17      1.00      0.00      0.00         1   9392.55      0.00   1753.32   2434.82     0.625   1007.81      2.22  62000.00
Fault1                      17      1.00      0.00      0.00         1   9396.31      0.00   1755.86   2506.41     0.625   1062.94      2.23  62000.00
Fault1                      17      1.00      0.00      0.00         1   9422.64      0.00   1773.48   2517.43     0.625   1071.42      2.23  62000.00
Fault1                      17      1.00      0.00      0.00         1   9429.11      0.00   1777.76   2520.10     0.625   1073.48      2.24  62000.00
Fault1                      17      1.00      0.00      0.00         1   9431.12      0.00   1779.09   2520.93     0.625   1074.12      2.24  62000.00
Fault1                      17      1.00      0.00      0.00         1   9454.27      0.00   1794.21   2730.38     0.625   1235.39      2.28  62000.00
Fault1                      17      1.00      0.00      0.00         1   9463.83      0.00   1800.37   2734.23     0.625   1238.36      2.29  62000.00
Fault1                      17      1.00      0.00      0.00         1   9471.15      0.00   1805.06   2737.16     0.625   1240.62      2.29  62000.00
Fault1                      17      1.00      0.00      0.00         1   9475.26      0.00   1807.68   2874.00     0.000   1604.00      2.14  62000.00
Fault1                      17      1.00      0.00      0.00         1   9494.30      0.00   1819.73   2874.00     0.000   1604.00      2.14  62000.00
Fault1                      17      1.00      0.00      0.00         1   9541.22      0.00   1848.75   2764.47     0.625   1261.64      2.29  62000.00
Fault1                      17      1.00      0.00      0.00         1   9554.19      0.00   1856.66   2769.41     0.625   1265.45      2.29  62000.00
Fault1                      17      1.00      0.00      0.00         1   9567.92      0.00   1864.99   2774.62     0.625   1269.46      2.29  62000.00
Fault1                      17      1.00      0.00      0.00         1   9595.79      0.00   1881.85   4000.00     0.000   2213.00      2.52  62000.00
Fault1                      17      1.00      0.00      0.00         1   9598.69      0.00   1883.60   4000.00     0.000   2213.00      2.52  62000.00
Fault1                      17      1.00      0.00      0.00         1   9623.95      0.00   1898.88   4000.00     0.000   2213.00      2.52  62000.00
Fault1                      17      1.00      0.00      0.00         1   9646.17      0.00   1912.39   4450.00     0.000   2560.00      2.59  62000.00
Fault1                      17      1.00      0.00      0.00         1   9648.95      0.00   1914.09   4450.00     0.000   2560.00      2.59  62000.00
Fault1                      17      1.00      0.00      0.00         1   9652.25      0.00   1916.11   4450.00     0.000   2560.00      2.59  62000.00
Fault1                      17      1.00      0.00      0.00         1   9667.24      0.00   1925.31   4450.00     0.000   2560.00      2.59  62000.00
Fault1                      17      1.00      0.00      0.00         1   9683.63      0.00   1935.45   4000.00     0.000   2213.00      2.52  62000.00
Fault1                      17      1.00      0.00      0.00         1   9689.17      0.00   1938.90   4000.00     0.000   2213.00      2.52  62000.00
Fault1                      17      1.00      0.00      0.00         1   9717.44      0.00   1956.74   3770.00     0.000   2036.00      2.48  62000.00
Fault1                      17      1.00      0.00      0.00         1   9723.76      0.00   1960.79   3770.00     0.000   2036.00      2.48  62000.00
Fault1                      17      1.00      0.00      0.00         1   9739.48      0.00   1970.95   3770.00     0.000   2036.00      2.48  62000.00
Fault1                      17      1.00      0.00      0.00         1   9754.98      0.00   1981.08   3770.00     0.000   2036.00      2.48  62000.00
Fault1                      17      1.00      0.00      0.00         1   9798.60      0.00   2009.67   4000.00     0.000   2213.00      2.52  62000.00
Fault1                      17      1.00      0.00      0.00         1   9819.21      0.00   2023.02   2500.00     0.000   1058.00      2.22  62000.00
Fault1                      17      1.00      0.00      0.00         1   9869.47      0.00   2054.25   2500.00     0.000   1058.00      2.22  62000.00
Fault1                      17      1.00      0.00      0.00         1   9882.11      0.00   2061.69   2650.00     0.000   1174.00      2.26  62000.00
Fault1                      17      1.00      0.00      0.00         1   9896.90      0.00   2070.12   2650.00     0.000   1174.00      2.26  62000.00
Fault1                      17      1.00      0.00      0.00         1   9914.44      0.00   2079.71   2650.00     0.000   1174.00      2.26  62000.00
Fault1                      17      1.00      0.00      0.00         1   9951.80      0.00   2098.93   2650.00     0.000   1174.00      2.26  62000.00
Fault1                      17      1.00      0.00      0.00         1   9962.44      0.00   2104.15   2650.00     0.000   1174.00      2.26  62000.00
Fault1                      17      1.00      0.00      0.00         1  10003.86      0.00   2123.61   2650.00     0.000   1174.00      2.26  62000.00
Fault1                      17      1.00      0.00      0.00         1  10015.57      0.00   2128.90   2440.00     0.000   1012.00      2.21  62000.00
Fault1                      17      1.00      0.00      0.00         1  10036.35      0.00   2138.11   2440.00     0.000   1012.00      2.21  62000.00
Fault1                      17      1.00      0.00      0.00         1  10108.45      0.00   2168.76   2440.00     0.000   1012.00      2.21  62000.00
Fault1                      17      1.00      0.00      0.00         1  10143.29      0.00   2183.04   2440.00     0.000   1012.00      2.21  62000.00
Fault1                      17      1.00      0.00      0.00         1  10165.57      0.00   2192.05   2440.00     0.000   1012.00      2.21  62000.00
Fault1                      17      1.00      0.00      0.00         1  10206.16      0.00   2208.28   2440.00     0.000   1012.00      2.21  62000.00
Fault1                      17      1.00      0.00      0.00         1  10244.78      0.00   2223.60   2440.00     0.000   1012.00      2.21  62000.00
Fault1                      17      1.00      0.00      0.00         1  10251.62      0.00   2226.34   2500.00     0.000   1058.00      2.22  62000.00
Fault1                      17      1.00      0.00      0.00         1  10271.71      0.00   2234.28   2500.00     0.000   1058.00      2.22  62000.00
Fault1                      17      1.00      0.00      0.00         1  10293.28      0.00   2242.47   2500.00     0.000   1058.00      2.22  62000.00
Fault1                      17      1.00      0.00      0.00         1  10315.81      0.00   2250.98   2500.00     0.000   1058.00      2.22  62000.00
Fault1                      17      1.00      0.00      0.00         1  10369.18      0.00   2270.73   2500.00     0.000   1058.00      2.22  62000.00
Fault1                      17      1.00      0.00      0.00         1  10460.02      0.00   2307.25   2500.00     0.000   1058.00      2.22  62000.00
Fault1                      17      1.00      0.00      0.00         1  10559.41      0.00   2354.36   2500.00     0.000   1058.00      2.22  62000.00
Fault1                      17      1.00      0.00      0.00         1  10666.88      0.00   2407.81   2500.00     0.000   1058.00      2.22  62000.00
Fault1                      17      1.00      0.00      0.00         1  10744.11      0.00   2447.80   2500.00     0.000   1058.00      2.22  62000.00
Fault1                      17      1.00      0.00      0.00         1  10932.90      0.00   2558.76   2500.00     0.000   1058.00      2.22  62000.00
Fault1                      17      1.00      0.00      0.00         1  11073.05      0.00   2640.05   2500.00     0.000   1058.00      2.22  62000.00
Fault1                      17      1.00      0.00      0.00         1  11224.71      0.00   2708.48   2500.00     0.000   1058.00      2.22  62000.00
Fault2                      16      1.00      0.00      0.00         1   8750.17      0.00    505.49   1730.37     0.250    465.39      2.02  62000.00
Fault2                      16      1.00      0.00      0.00         1   8772.37      0.00    531.10   1736.78     0.250    470.32      2.03  62000.00
Fault2                      16      1.00      0.00      0.00         1   8792.63      0.00    550.23   1611.56     0.250    373.90      1.99  62000.00
Fault2                      16      1.00      0.00      0.00         1   8801.41      0.00    558.71   1613.68     0.250    375.53      1.99  62000.00
Fault2                      16      1.00      0.00      0.00         1   8811.43      0.00    569.26   1616.32     0.250    377.56      1.99  62000.00
Fault2                      16      1.00      0.00      0.00         1   8825.86      0.00    585.98   1590.49     0.250    357.68      1.98  62000.00
Fault2                      16      1.00      0.00      0.00         1   8835.20      0.00    597.60   1633.40     0.250    390.72      1.99  62000.00
Fault2                      16      1.00      0.00      0.00         1   8842.71      0.00    607.30   1635.83     0.250    392.58      1.99  62000.00
Fault2                      16      1.00      0.00      0.00         1   8857.35      0.00    626.70   1570.67     0.250    342.42      1.97  62000.00
Fault2                      16      1.00      0.00      0.00         1   8863.67      0.00    635.10   1572.78     0.250    344.04      1.97  62000.00
Fault2                      16      1.00      0.00      0.00         1   8871.65      0.00    645.53   1645.38     0.250    399.94      2.00  62000.00
Fault2                      16      1.00      0.00      0.00         1   8890.70      0.00    669.53   1651.38     0.250    404.56      2.00  62000.00
Fault2                      16      1.00      0.00      0.00         1   8916.58      0.00    700.91   1779.23     0.250    503.00      2.04  62000.00
Fault2                      16      1.00      0.00      0.00         1   8925.65      0.00    711.85   1781.96     0.250    505.11      2.04  62000.00
Fault2                      16      1.00      0.00      0.00         1   8936.06      0.00    724.51   1655.13     0.250    407.45      2.00  62000.00
Fault2                      16      1.00      0.00      0.00         1   8946.50      0.00    737.42   1608.36     0.250    437.12      1.88  62000.00
Fault2                      16      1.00      0.00      0.00         1   8956.71      0.00    750.38   1611.59     0.250    439.72      1.88  62000.00
Fault2                      16      1.00      0.00      0.00         1   8970.06      0.00    767.81   1675.95     0.250    423.48      2.01  62000.00
Fault2                      16      1.00      0.00      0.00         1   8990.30      0.00    795.11   2124.17     0.375    768.61      2.14  62000.00
Fault2                      16      1.00      0.00      0.00         1   9004.34      0.00    814.58   2161.47     0.375    797.33      2.15  62000.00
Fault2                      16      1.00      0.00      0.00         1   9017.19      0.00    832.71   2168.27     0.375    802.57      2.15  62000.00
Fault2                      16      1.00      0.00      0.00         1   9031.36      0.00    852.93   2175.85     0.375    808.40      2.15  62000.00
Fault2                      16      1.00      0.00      0.00         1   9047.01      0.00    875.55   2134.33     0.375    776.43      2.14  62000.00
Fault2                      16      1.00      0.00      0.00         1   9057.08      0.00    890.18   2139.82     0.375    780.66      2.14  62000.00
Fault2                      16      1.00      0.00      0.00         1   9077.56      0.00    919.88   2150.95     0.375    789.23      2.14  62000.00
Fault2                      16      1.00      0.00      0.00         1   9087.86      0.00    934.68   2156.50     0.375    793.51      2.15  62000.00
Fault2                      16      1.00      0.00      0.00         1   9092.09      0.00    940.70   2158.76     0.375    795.25      2.15  62000.00
Fault2                      16      1.00      0.00      0.00         1   9108.65      0.00    963.98   2277.49     0.375    886.67      2.18  62000.00
Fault2                      16      1.00      0.00      0.00         1   9115.38      0.00    973.26   2280.97     0.375    889.35      2.18  62000.00
Fault2                      16      1.00      0.00      0.00         1   9134.41      0.00    999.51   2200.82     0.375    827.63      2.16  62000.00
Fault2                      16      1.00      0.00      0.00         1   9143.86      0.00   1013.31   2165.99     0.375    800.81      2.15  62000.00
Fault2                      16      1.00      0.00      0.00         1   9148.73      0.00   1020.21   2168.58     0.375    802.80      2.15  62000.00
Fault2                      16      1.00      0.00      0.00         1   9197.95      0.00   1078.99   2310.62     0.375    912.18      2.19  62000.00
Fault2                      16      1.00      0.00      0.00         1   9218.17      0.00   1103.85   2319.94     0.375    919.36      2.19  62000.00
Fault2                      16      1.00      0.00      0.00         1   9239.72      0.00   1129.27   2269.48     0.375    880.50      2.17  62000.00
Fault2                      16      1.00      0.00      0.00         1   9275.68      0.00   1171.13   2285.18     0.375    892.59      2.18  62000.00
Fault2                      16      1.00      0.00      0.00         1   9281.95      0.00   1177.97   2287.74     0.375    894.56      2.18  62000.00
Fault2                      16      1.00      0.00      0.00         1   9309.12      0.00   1206.98   2551.39     1.630   1097.57      2.24  62000.00
Fault2                      16      1.00      0.00      0.00         1   9312.45      0.00   1210.48   2557.09     1.630   1101.96      2.25  62000.00
Fault2                      16      1.00      0.00      0.00         1   9327.95      0.00   1226.56   2583.28     1.630   1122.13      2.25  62000.00
Fault2                      16      1.00      0.00      0.00         1   9349.29      0.00   1248.27   2758.67     1.630   1257.18      2.29  62000.00
Fault2                      16      1.00      0.00      0.00         1   9371.36      0.00   1270.22   2614.46     1.630   1146.13      2.26  62000.00
Fault2                      16      1.00      0.00      0.00         1   9382.42      0.00   1281.06   2732.12     1.630   1236.74      2.28  62000.00
Fault2                      16      1.00      0.00      0.00         1   9389.32      0.00   1287.76   2743.05     1.630   1245.15      2.29  62000.00
Fault2                      16      1.00      0.00      0.00         1   9403.28      0.00   1301.20   2228.76     0.630    935.92      2.05  62000.00
Fault2                      16      1.00      0.00      0.00         1   9420.37      0.00   1317.45   2132.41     0.625    774.95      2.14  62000.00
Fault2                      16      1.00      0.00      0.00         1   9435.13      0.00   1331.30   2491.06     0.625   1146.81      2.11  62000.00
Fault2                      16      1.00      0.00      0.00         1   9440.37      0.00   1336.17   2494.10     0.625   1149.26      2.11  62000.00
Fault2                      16      1.00      0.00      0.00         1   9457.75      0.00   1352.14   2234.09     0.625    853.25      2.17  62000.00
Fault2                      16      1.00      0.00      0.00         1   9470.58      0.00   1363.78   2211.36     0.625    921.94      2.04  62000.00
Fault2                      16      1.00      0.00      0.00         1   9482.90      0.00   1374.81   2218.26     0.625    927.48      2.04  62000.00
Fault2                      16      1.00      0.00      0.00         1   9525.05      0.00   1411.45   2271.16     0.625    881.79      2.17  62000.00
Fault2                      16      1.00      0.00      0.00         1   9540.08      0.00   1424.03   2279.02     0.625    887.84      2.18  62000.00
Fault2                      16      1.00      0.00      0.00         1   9555.73      0.00   1436.80   2400.00     0.000    981.00      2.21  62000.00
Fault2                      16      1.00      0.00      0.00         1   9571.27      0.00   1449.17   2400.00     0.000    981.00      2.21  62000.00
Fault2                      16      1.00      0.00      0.00         1   9593.20      0.00   1466.20   2400.00     0.000    981.00      2.21  62000.00
Fault2                      16      1.00      0.00      0.00         1   9610.16      0.00   1478.80   2400.00     0.000    981.00      2.21  62000.00
Fault2                      16      1.00      0.00      0.00         1   9625.45      0.00   1490.68   2400.00     0.000    981.00      2.21  62000.00
Fault2                      16      1.00      0.00      0.00         1   9632.49      0.00   1496.15   2400.00     0.000    981.00      2.21  62000.00
Fault2                      16      1.00      0.00      0.00         1   9653.37      0.00   1512.13   2400.00     0.000    981.00      2.20  62000.00
Fault2                      16      1.00      0.00      0.00         1   9661.77      0.00   1518.49   2400.00     0.000    981.00      2.20  62000.00
Fault2                      16      1.00      0.00      0.00         1   9674.61      0.00   1528.15   2400.00     0.000    981.00      2.20  62000.00
Fault2                      16      1.00      0.00      0.00         1   9691.68      0.00   1541.00   2400.00     0.000    981.00      2.20  62000.00
Fault2                      16      1.00      0.00      0.00         1   9699.59      0.00   1546.98   2650.00     0.000   1174.00      2.26  62000.00
Fault2                      16      1.00      0.00      0.00         1   9706.87      0.00   1552.51   2650.00     0.000   1174.00      2.26  62000.00
Fault2                      16      1.00      0.00      0.00         1   9720.24      0.00   1562.76   2650.00     0.000   1174.00      2.26  62000.00
Fault2                      16      1.00      0.00      0.00         1   9723.30      0.00   1565.13   2650.00     0.000   1174.00      2.26  62000.00
Fault2                      16      1.00      0.00      0.00         1   9738.04      0.00   1576.69   3550.00     0.000   1866.50      2.45  62000.00
Fault2                      16      1.00      0.00      0.00         1   9751.79      0.00   1587.73   3550.00     0.000   1866.50      2.45  62000.00
Fault2                      16      1.00      0.00      0.00         1   9798.43      0.00   1626.29   3550.00     0.000   1866.50      2.45  62000.00
Fault2                      16      1.00      0.00      0.00         1   9804.91      0.00   1631.68   3350.00     0.000   1712.50      2.41  62000.00
Fault2                      16      1.00      0.00      0.00         1   9821.08      0.00   1645.03   3350.00     0.000   1712.50      2.41  62000.00
Fault2                      16      1.00      0.00      0.00         1   9827.15      0.00   1649.98   3350.00     0.000   1712.50      2.41  62000.00
Fault2                      16      1.00      0.00      0.00         1   9830.34      0.00   1652.57   3350.00     0.000   1712.50      2.41  62000.00
Fault2                      16      1.00      0.00      0.00         1   9848.24      0.00   1666.88   3500.00     0.000   1828.00      2.44  62000.00
Fault2                      16      1.00      0.00      0.00         1   9868.62      0.00   1682.59   3500.00     0.000   1828.00      2.44  62000.00
Fault2                      16      1.00      0.00      0.00         1   9887.28      0.00   1696.49   2469.31     0.625   1034.37      2.22  62000.00
Fault2                      16      1.00      0.00      0.00         1   9902.84      0.00   1707.79   2476.36     0.625   1039.80      2.23  62000.00
Fault2                      16      1.00      0.00      0.00         1   9911.72      0.00   1714.12   2480.33     0.625   1042.85      2.23  62000.00
Fault2                      16      1.00      0.00      0.00         1   9914.16      0.00   1715.85   2361.41     0.625    951.28      2.20  62000.00
Fault2                      16      1.00      0.00      0.00         1   9936.26      0.00   1731.30   2371.06     0.625    958.72      2.20  62000.00
Fault2                      16      1.00      0.00      0.00         1   9949.30      0.00   1740.25   2646.66     0.625   1170.93      2.27  62000.00
Fault2                      16      1.00      0.00      0.00         1   9961.75      0.00   1748.70   2651.94     0.625   1174.99      2.27  62000.00
Fault2                      16      1.00      0.00      0.00         1   9979.96      0.00   1760.92   2509.57     0.625   1065.37      2.23  62000.00
Fault2                      16      1.00      0.00      0.00         1   9983.55      0.00   1763.31   2711.07     0.625   1220.52      2.28  62000.00
Fault2                      16      1.00      0.00      0.00         1   9992.33      0.00   1769.13   2714.71     0.625   1223.33      2.28  62000.00
Fault2                      16      1.00      0.00      0.00         1  10011.02      0.00   1781.47   2722.42     0.625   1229.26      2.28  62000.00
Fault2                      16      1.00      0.00      0.00         1  10013.55      0.00   1783.14   2723.46     0.625   1230.07      2.28  62000.00
Fault2                      16      1.00      0.00      0.00         1  10019.56      0.00   1787.09   2525.93     0.625   1077.97      2.24  62000.00
Fault2                      16      1.00      0.00      0.00         1  10047.73      0.00   1805.56   2537.47     0.625   1086.86      2.24  62000.00
